1994,Privately held,35
1995,Privately held,43
1996,Privately held,48
1997,Privately held,22
1998,Privately held,21
1991,Privately held,143
1992,Privately held,137
1993,Privately held,117
1991,Privately held,58
1992,Privately held,82
1994,Privately held,137
1987,Privately held,140
1988,Privately held,140
1989,Privately held,52
1990,Privately held,52
1991,Privately held,193
1994,Privately held,5
1992,Privately held,82
1993,Privately held,82
1994,Privately held,78
1995,Privately held,73
1996,Privately held,53
1987,Privately held,71
1988,Privately held,71
1989,Privately held,71
1990,Privately held,18
1993,Privately held,78
1994,Privately held,81
1995,Privately held,117
1996,Privately held,77
1997,Privately held,64
1998,Privately held,69
1999,Privately held,92
2000,Privately held,103
2001,Privately held,94
2002,Privately held,103
2003,Privately held,92
2004,Privately held,94
2005,Privately held,59
2006,Privately held,38
2007,Privately held,62
2008,Privately held,59
2009,Privately held,76
2010,Privately held,63
2011,Privately held,86
2012,Privately held,111
2013,Privately held,122
2014,Privately held,102
2015,Privately held,84
2016,Privately held,25
1987,Privately held,646
1988,Privately held,646
1989,Privately held,646
1990,Privately held,57
1991,Privately held,72
1992,Privately held,107
