2001,Publicly traded,1156
2002,Publicly traded,396
2003,Publicly traded,596
2004,Publicly traded,1219
2005,Publicly traded,718
2006,Publicly traded,456
2007,Publicly traded,524
2008,Publicly traded,123
2009,Publicly traded,180
2010,Publicly traded,606
2011,Publicly traded,420
2012,Publicly traded,263
2013,Publicly traded,240
2014,Publicly traded,170
2000,Publicly traded,1407
2001,Publicly traded,1618
2002,Publicly traded,1853
2003,Publicly traded,1777
2004,Publicly traded,1339
2005,Publicly traded,1361
2006,Publicly traded,826
2007,Publicly traded,591
2008,Publicly traded,272
2009,Publicly traded,28
2000,Publicly traded,551
2001,Publicly traded,670
2002,Publicly traded,940
2003,Publicly traded,1507
2004,Publicly traded,2154
2005,Publicly traded,2791
2006,Publicly traded,2563
2007,Publicly traded,2235
2008,Publicly traded,1743
2009,Publicly traded,1240
2010,Publicly traded,949
2011,Publicly traded,916
2012,Publicly traded,792
2013,Publicly traded,693
2014,Publicly traded,518
2015,Publicly traded,437
2016,Publicly traded,371
2000,Publicly traded,658
2001,Publicly traded,1486
2002,Publicly traded,839
2003,Publicly traded,1378
2004,Publicly traded,2523
2005,Publicly traded,2748
2006,Publicly traded,3607
2007,Publicly traded,1526
2008,Publicly traded,997
2009,Publicly traded,821
2010,Publicly traded,869
2011,Publicly traded,900
2012,Publicly traded,749
2013,Publicly traded,605
2014,Publicly traded,489
2015,Publicly traded,442
2016,Publicly traded,380
1996,Publicly traded,992
1997,Publicly traded,1024
1998,Publicly traded,1017
1999,Publicly traded,1076
2000,Publicly traded,2612
1996,Publicly traded,700
1997,Publicly traded,342
1998,Publicly traded,273
1999,Publicly traded,229
2000,Publicly traded,130
1996,Publicly traded,349
1997,Publicly traded,633
1998,Publicly traded,628
1999,Publicly traded,295
2000,Publicly traded,479
1992,Publicly traded,1884
1993,Publicly traded,2112
1994,Publicly traded,2620
1995,Publicly traded,2839
1996,Publicly traded,2988
1997,Publicly traded,4031
1998,Publicly traded,3595
1999,Publicly traded,3891
2000,Publicly traded,3499
2001,Publicly traded,5017
2002,Publicly traded,4454
2003,Publicly traded,9530
2004,Publicly traded,8018
2005,Publicly traded,7849
2006,Publicly traded,6043
2007,Publicly traded,6005
2008,Publicly traded,6183
2009,Publicly traded,7234
2010,Publicly traded,8993
2011,Publicly traded,13259
2012,Publicly traded,12457
2013,Publicly traded,11206
2011,Publicly traded,1452
2012,Publicly traded,1448
2013,Publicly traded,1329
2014,Publicly traded,1150
2015,Publicly traded,857
2011,Publicly traded,2077
2012,Publicly traded,2109
2013,Publicly traded,1993
2014,Publicly traded,1791
2015,Publicly traded,1301
2011,Publicly traded,1680
2012,Publicly traded,1719
2013,Publicly traded,1738
2014,Publicly traded,1671
2015,Publicly traded,1255
2011,Publicly traded,19229
2012,Publicly traded,19172
2013,Publicly traded,17184
2014,Publicly traded,15639
2015,Publicly traded,11931
2011,Publicly traded,1775
2012,Publicly traded,1772
2013,Publicly traded,1657
2014,Publicly traded,1503
2015,Publicly traded,1232
1996,Publicly traded,812
1997,Publicly traded,817
1998,Publicly traded,760
1999,Publicly traded,828
2000,Publicly traded,873
2001,Publicly traded,909
2002,Publicly traded,885
2003,Publicly traded,944
2004,Publicly traded,1071
2005,Publicly traded,1286
2006,Publicly traded,1045
2007,Publicly traded,970
2008,Publicly traded,1043
2009,Publicly traded,1190
2010,Publicly traded,1430
2011,Publicly traded,1654
2012,Publicly traded,1656
2013,Publicly traded,1385
2014,Publicly traded,1209
2015,Publicly traded,999
2016,Publicly traded,700
1996,Publicly traded,718
1997,Publicly traded,706
1998,Publicly traded,680
1999,Publicly traded,362
2000,Publicly traded,834
2001,Publicly traded,849
2002,Publicly traded,810
2003,Publicly traded,859
2004,Publicly traded,880
2005,Publicly traded,919
2006,Publicly traded,919
2007,Publicly traded,832
2008,Publicly traded,899
2009,Publicly traded,901
2010,Publicly traded,1030
2011,Publicly traded,907
2012,Publicly traded,650
2013,Publicly traded,451
2014,Publicly traded,534
2015,Publicly traded,551
2016,Publicly traded,420
1996,Publicly traded,734
1997,Publicly traded,750
1998,Publicly traded,706
1999,Publicly traded,702
2000,Publicly traded,762
2001,Publicly traded,705
2002,Publicly traded,697
2003,Publicly traded,666
2004,Publicly traded,687
2005,Publicly traded,809
2006,Publicly traded,714
2007,Publicly traded,778
2008,Publicly traded,804
2009,Publicly traded,834
2010,Publicly traded,951
2011,Publicly traded,994
2012,Publicly traded,1002
2013,Publicly traded,926
2014,Publicly traded,823
2015,Publicly traded,783
2016,Publicly traded,666
2002,Publicly traded,597
2003,Publicly traded,799
2004,Publicly traded,1329
2005,Publicly traded,1708
2006,Publicly traded,1912
